id,content,买方,卖方,标的
1204735795,"中信银行股份有限公司关于收购阿尔金银行股份有限公司股权完成交割的公告。中信银行股份有限公司（以下简称“本行”）于2017年6月7日召开的董事会会议审议通过了《关于收购阿尔金银行股份有限公司股权相关事宜的议案》，于2018年1月25日召开的董事会会议审议通过了《关于修订并签署收购阿尔金银行股权相关交易文件以及调整相关交割安排的议案》。相关内容详见本行分别于2017年6月8日、2018年1月26日于上海证券交易所网站和本行网站披露的董事会会议决议公告。本行董事会现宣布，本行与中国双维投资有限公司合作购入哈萨克斯坦人民银行所持有的阿尔金银行60%股权交易（以下简称“本次收购”）的所有先决条件已根据本次收购协议条款达成或豁免，本次收购已取得中国和哈萨克斯坦相关监管机构的批准或认可；本次收购于2018年4月24日（北京时间）完成交割，本行与中国双维投资有限公司分别以22,176,344,910.7坚戈1、4,381,776,029.3坚戈的对价收购哈萨克斯坦人民银行所持有的阿尔金银行50.1%、9.9%的股权。特此公告。中信银行股份有限公司董事会2018年4月25日1根据哈萨克斯坦央行2018年",中信银行股份有限公司、中国双维投资有限公司,哈萨克斯坦人民银行,阿尔金银行
1204737982,"东方时尚驾驶学校股份有限公司关于收购高安市瑞鑫投资有限公司部分股权进展的公告。一、基本情况概述2017年12月28日，东方时尚驾驶学校股份有限公司（以下简称“公司”或“东方时尚”）第三届董事会第六次会议审议通过《关于收购高安市瑞鑫投资有限公司部分股权的议案》，同意收购高安市瑞鑫投资有限公司(以下简称“瑞鑫投资”)60%股权，交易金额为人民币9,000万元。具体内容详见公司于2017年12月30日在《上海证券报》、《证券时报》及上海证券交易所网站披露的临2017-080、临2017-084号公告。",东方时尚驾驶学校股份有限公司,高安市瑞鑫投资有限公司,高安市瑞鑫投资有限公司
1204738756,"惠州硕贝德无线科技股份有限公司关于收购控股子公司部分少数股东股权的公告。一、本次交易概述为推进公司发展战略，增强可持续发展能力及盈利能力，惠州硕贝德无线科技股份有限公司（以下简称“公司”、“硕贝德”）拟收购公司控股子公司江苏凯尔生物识别科技有限公司（以下简称“江苏凯尔”、“标的公司”）少数股东持有江苏凯尔24.044%的股权，转让对价共计5,818.648万元人民币。其中，公司拟受让金运实业有限公司(以下简称“金运实业”)持有的江苏凯尔9.477%的股权，支付对价为2,293.434万元人民币；受让苏州凯尔德咨询管理中心（有限合伙）(以下简称“凯尔德”)持有的江苏凯尔8.00%的股权，支付对价为1,936.00万元人民币；受让林伟平持有的江苏凯尔6.567%的股权，支付对价为1,589.214万元人民币。本次交易完成后，公司对江苏凯尔的持股比例由51.912%上升至75.956%。本次交易前，金运实业、凯尔德、林伟平分别持有江苏凯尔18.954%、16.00%、13.134%的股权，根据《深圳证券交易所创业板股票上市规则（2014年修订)》的规定，金运实业、凯尔德、林伟平不属于关联方，",惠州硕贝德无线科技股份有限公司,金运实业有限公司、苏州凯尔德咨询管理中心,江苏凯尔生物识别科技有限公司
1204738756,"惠州硕贝德无线科技股份有限公司关于收购控股子公司部分少数股东股权的公告。一、本次交易概述为推进公司发展战略，增强可持续发展能力及盈利能力，惠州硕贝德无线科技股份有限公司（以下简称“公司”、“硕贝德”）拟收购公司控股子公司江苏凯尔生物识别科技有限公司（以下简称“江苏凯尔”、“标的公司”）少数股东持有江苏凯尔24.044%的股权，转让对价共计5,818.648万元人民币。其中，公司拟受让金运实业有限公司(以下简称“金运实业”)持有的江苏凯尔9.477%的股权，支付对价为2,293.434万元人民币；受让苏州凯尔德咨询管理中心（有限合伙）(以下简称“凯尔德”)持有的江苏凯尔8.00%的股权，支付对价为1,936.00万元人民币；受让林伟平持有的江苏凯尔6.567%的股权，支付对价为1,589.214万元人民币。本次交易完成后，公司对江苏凯尔的持股比例由51.912%上升至75.956%。本次交易前，金运实业、凯尔德、林伟平分别持有江苏凯尔18.954%、16.00%、13.134%的股权，根据《深圳证券交易所创业板股票上市规则（2014年修订)》的规定，金运实业、凯尔德、林伟平不属于关联方，",惠州硕贝德无线科技股份有限公司,林伟平,江苏凯尔生物识别科技有限公司
1204739587,"北京金一文化发展股份有限公司关于收购股权业绩承诺实现情况的专项说明一、收购股权方案及审批核准、实施情况2015年4月7日，公司与北京金一江苏珠宝有限公司（以下简称“金一江苏”）股东江苏创禾华富商贸有限公司（以下简称“创禾华富”）签署《北京金一文化发展股份有限公司与江苏创禾华富商贸有限公司之间关于南京宝庆尚品珠宝连锁有限公司之购买资产协议》（以下简称“购买资产协议”），公司拟以自有资金人民币39,780.00万元向创禾华富收购其所持金一江苏的51%股权。2015年4月8日召开的第二届董事会第三十三次会议及2015年4月30日召开的2014年度股东大会审议通过了《关于收购南京宝庆尚品珠宝连锁有限公司51%股权的议案》，同意公司以39,780.00万元收购金一江苏51%的股权。2017年尚在业绩考核期内。南京宝庆尚品珠宝连锁有限公司于2017年2月21日更名为北京金一江苏珠宝有限公司。",北京金一文化发展股份有限公司,江苏创禾华富商贸有限公司,北京金一江苏珠宝有限公司
1204739588,"北京金一文化发展股份有限公司关于收购股权业绩承诺实现情况的专项说明一、收购股权方案及审批核准、实施情况2016年4月6日，公司与广东乐源数字技术有限公司（以下简称“广东乐源”）股东乐六平签署《北京金一文化发展股份有限公司与乐六平之间关于广东乐源数字技术有限公司之增资及股权转让协议》（以下简称“增资及股权转让协议”），公司拟以自有或自筹资金人民币18,700.00万元对广东乐源进行增资，其中733.0999万元计入广东乐源的注册资本，占广东乐源增资后注册资本的11%，17,966.9001万元计入广东乐源的资本公积；同时，公司拟以68,000.00万元向乐六平收购其所持广东乐源的40%股权。本次交易完成后，公司共计持有广东乐源51%的股权并取得其控制权。公司于2016年4月13日召开的第二届董事会第六十二次会议及2016年5月9日召开的2015年度股东大会审议通过了《关于收购广东乐源数字技术有限公司51%股权的议案》，同意公司收购广东乐源51%的股权。广东乐源已完成了股权变更的工商变更登记手续，并领取了当地工商行政管理局换发的《企业法人营业执照》，统一社会信用代码为91440101574",北京金一文化发展股份有限公司,乐六平,广东乐源数字技术有限公司
1204787427,山西漳泽电力股份有限公司关于终止收购香港融资租赁公司部分股权及转让上海融资租赁公司部分股权关联交易事项的公告。一、关于筹划收购大同煤矿集团（香港）融资租赁公司部分股权及转让同煤漳泽（上海）融资租赁有限责任公司部分股权事项的基本情况山西漳泽电力股份有限公司（以下简称“漳泽电力”或“公司”）于2017年3月10日召开八届十次董事会通过了《关于收购大同煤矿集团（香港）融资租赁有限公司80%股权的关联交易预案》、《关于转让同煤漳泽（上海）融资租赁公司部分股权的关联交易预案》，其中：公司拟收购大同煤矿集团有限责任公司（以下简称“同煤集团”）持有的大同煤矿集团（香港）融资租赁有限公司（以下简称“香港融资租赁”）80%股权；通过协议转让的方式向大同煤业股份有限公司（以下简称“大同煤业”）转让同煤漳泽（上海）融资租赁有限责任公司（以下简称“上海融资租赁公司”）20%股权；通过进场公开挂牌交易的方式转让上海融资租赁公司20%股权。上述议案经于2017年3月28日召开的2017年第三次临时股东大会审议并通过。鉴于在市场上尚未找到意向受让方，公司拟将持有的上海融资租赁公司的20%股权继续转让给大同煤业。公司,山西漳泽电力股份有限公司,大同煤矿集团有限责任公司,大同煤矿集团（香港）融资租赁有限公司
1204787427,山西漳泽电力股份有限公司关于终止收购香港融资租赁公司部分股权及转让上海融资租赁公司部分股权关联交易事项的公告。一、关于筹划收购大同煤矿集团（香港）融资租赁公司部分股权及转让同煤漳泽（上海）融资租赁有限责任公司部分股权事项的基本情况山西漳泽电力股份有限公司（以下简称“漳泽电力”或“公司”）于2017年3月10日召开八届十次董事会通过了《关于收购大同煤矿集团（香港）融资租赁有限公司80%股权的关联交易预案》、《关于转让同煤漳泽（上海）融资租赁公司部分股权的关联交易预案》，其中：公司拟收购大同煤矿集团有限责任公司（以下简称“同煤集团”）持有的大同煤矿集团（香港）融资租赁有限公司（以下简称“香港融资租赁”）80%股权；通过协议转让的方式向大同煤业股份有限公司（以下简称“大同煤业”）转让同煤漳泽（上海）融资租赁有限责任公司（以下简称“上海融资租赁公司”）20%股权；通过进场公开挂牌交易的方式转让上海融资租赁公司20%股权。上述议案经于2017年3月28日召开的2017年第三次临时股东大会审议并通过。鉴于在市场上尚未找到意向受让方，公司拟将持有的上海融资租赁公司的20%股权继续转让给大同煤业。公司,大同煤业股份有限公司,山西漳泽电力股份有限公司,同煤漳泽（上海）融资租赁有限责任公司
1204787889,"关于收购南京正华通捷电子系统工程有限公司股权完成工商变更的公告。厦门市建筑科学研究院集团股份有限公司关于收购南京正华通捷电子系统工程有限公司股权完成工商变更的公告一、基本情况厦门市建筑科学研究院集团股份有限公司（以下简称“公司”）于2018年3月12日召开了第四届董事会第十六次会议，审议通过了《关于公司使用自有资金收购南京正华通捷电子系统工程有限公司股权的议案》，并于2018年3月12日与陈界鹏、南京通捷投资中心（有限合伙）签订了《购买资产协议》及《购买之资产盈利及减值补偿协议》，以自有资金18,000万元人民币收购其持有的南京正华通捷电子系统工程有限公司（以下简称“南京正华”）100%股权。具体内容详见公司于2018年3月13日在《证券日报》、《证券时报》及巨潮资讯网上披露2018-015）。根据《购买资产协议》的约定，公司已于近日完成了南京正华股权过户手续及工商变更登记。本次股权变更完成后，公司持有南京正华100%股权。",厦门市建筑科学研究院集团股份有限公司,陈界鹏,南京正华通捷电子系统工程有限公司
1204787889,"关于收购南京正华通捷电子系统工程有限公司股权完成工商变更的公告。厦门市建筑科学研究院集团股份有限公司关于收购南京正华通捷电子系统工程有限公司股权完成工商变更的公告一、基本情况厦门市建筑科学研究院集团股份有限公司（以下简称“公司”）于2018年3月12日召开了第四届董事会第十六次会议，审议通过了《关于公司使用自有资金收购南京正华通捷电子系统工程有限公司股权的议案》，并于2018年3月12日与陈界鹏、南京通捷投资中心（有限合伙）签订了《购买资产协议》及《购买之资产盈利及减值补偿协议》，以自有资金18,000万元人民币收购其持有的南京正华通捷电子系统工程有限公司（以下简称“南京正华”）100%股权。具体内容详见公司于2018年3月13日在《证券日报》、《证券时报》及巨潮资讯网上披露2018-015）。根据《购买资产协议》的约定，公司已于近日完成了南京正华股权过户手续及工商变更登记。本次股权变更完成后，公司持有南京正华100%股权。",厦门市建筑科学研究院集团股份有限公司,南京通捷投资中心,南京正华通捷电子系统工程有限公司
1204788082,"南方中金环境股份有限公司关于出售江苏金山环保科技有限公司100%股权的交易进展公告。一、交易概述南方中金环境股份有限公司（以下简称“公司”或“中金环境”）于2017年12月26日召开了2017年第四次临时股东大会，审议通过了《关于出售子公司股权暨关联交易的议案》等议案，同意公司以人民币191,500.00万元将公司持有的江苏金山环保科技有限公司（以下简称“金山环保”）100%股权转让给江苏金山环保工程集团有限公司（以下简称“金山集团”）。本次股权出售交易完成后，公司将不再持有金山环保股权。具体内容详见公司于2017年12月10日在2017-117）。",江苏金山环保工程集团有限公司,南方中金环境股份有限公司,江苏金山环保科技有限公司
1204788816,浙江莎普爱思药业股份有限公司关于收购强身药业100%股权所涉业绩承诺2017年度实现情况及资产转让方拟对公司进行业绩补偿的公告。浙江莎普爱思药业股份有限公司（以下简称“本公司”、“公司”）于2018年4月24日召开的第三届董事会第十八次会议等审议通过了《关于收购强身药业100%股权所涉业绩承诺2017年度实现情况及资产转让方拟对公司进行业绩补偿的议案》。现将相关事宜公告如下：2015年11月12日公司第三届董事会第五次会议和2015年12月1日公司召开的2015年第一次临时股东大会，分别审议通过了公司与吉林省东丰药业股份有限公司（以下简称“东丰药业”）及刘宪彬签署了《附生效条件的股权转让协议》（以下简称“股权转让协议”），公司拟以非公开发行股票及支付现金方式收购吉林强身药业有限责任公司（现已更名为“莎普爱思强身药业有限公司”，以下简称“强身药业”）100%股权，强身药业已于2015年12月15日完成股东、法定代表人等工商变更。2016年11月17日公司收到中国证监会《关于核准浙江莎普爱思药业股份有限公司非公开发行股票的批复》，公司对东丰药业非公开发行的274.73万股股份已于2016年,浙江莎普爱思药业股份有限公司,吉林省东丰药业股份有限公司,吉林强身药业有限责任公司
1204788816,浙江莎普爱思药业股份有限公司关于收购强身药业100%股权所涉业绩承诺2017年度实现情况及资产转让方拟对公司进行业绩补偿的公告。浙江莎普爱思药业股份有限公司（以下简称“本公司”、“公司”）于2018年4月24日召开的第三届董事会第十八次会议等审议通过了《关于收购强身药业100%股权所涉业绩承诺2017年度实现情况及资产转让方拟对公司进行业绩补偿的议案》。现将相关事宜公告如下：2015年11月12日公司第三届董事会第五次会议和2015年12月1日公司召开的2015年第一次临时股东大会，分别审议通过了公司与吉林省东丰药业股份有限公司（以下简称“东丰药业”）及刘宪彬签署了《附生效条件的股权转让协议》（以下简称“股权转让协议”），公司拟以非公开发行股票及支付现金方式收购吉林强身药业有限责任公司（现已更名为“莎普爱思强身药业有限公司”，以下简称“强身药业”）100%股权，强身药业已于2015年12月15日完成股东、法定代表人等工商变更。2016年11月17日公司收到中国证监会《关于核准浙江莎普爱思药业股份有限公司非公开发行股票的批复》，公司对东丰药业非公开发行的274.73万股股份已于2016年,浙江莎普爱思药业股份有限公司,刘宪彬,吉林强身药业有限责任公司
1204792224,云南罗平锌电股份有限公司关于出售持有参股公司宏盛驰远32.11%股权的公告。重要提示：1、本次交易不构成关联交易。2、本次交易不构成《上市公司重大资产重组管理办法》规定的重大资产重组。一、交易概述云南罗平锌电股份有限公司（以下简称“公司”、“罗平锌电”）因参股公司云南宏盛驰远资源有限责任公司（以下简称“宏盛驰远”）地质及勘探工作结构复杂、勘探难度大，未能进一步探明资源储量，且矿石品位低，采矿难度大，一直处于亏损状态，同时也加大了公司亏损。公司拟将持有的宏盛驰远32.11%股权转让给自然人邓琳玲。本次交易的交易金额以宏盛驰远评估基准日2017年12月31日评估的净资产价值202.69万元为依据，双方确定交易金额为70万元。2018年4月25日，公司召开第六届董事会第二十五次会议审议通过了《关于出售持有参股公司宏盛驰远32.11%股权的议案》，同意公司以人民币70万元向邓琳玲出售宏盛驰远32.11%的股权，同时宏盛驰远其余两名股东放弃了优先购买权。独立董事对此发表了同意的独立意见。根据《深圳证券交易所股票上市规则》的相关规定，本次交易在董事会的审议权限内，无需提交股东大会审议，董事会授权管,邓琳玲,云南罗平锌电股份有限公司,云南宏盛驰远资源有限责任公司
1204794011,山东美晨生态环境股份有限公司全资子公司收购浙江融合环境科技有限公司51%股权的公告。山东美晨生态环境股份有限公司（以下简称“公司”）于第四届董事会第二次会议审议通过了《关于全资子公司收购浙江融合环境科技有限公司51%股权的议案》，现将相关事项公告如下：一、交易概述根据公司战略发展和经营需要，为拓宽公司业务发展渠道，提升公司承接项目能力和核心竞争力，山东美晨生态环境股份有限公司（以下简称“美晨生态”）之全资子公司杭州赛石园林集团有限公司（以下简称“赛石园林”或“乙方”）拟与自然人郑丽莉女士（以下简称“甲方”）签订股权转让协议，赛石园林拟以自有资金510万元收购浙江融合环境科技有限公司（以下简称：“标的公司”）51%的股权。本次交易完成后，赛石园林将持有标的公司51%的股权。本次投资计划在董事会审批权限内，无需提交公司股东大会审议批准，独立董事对该投资事项发表了独立意见。根据《深圳证券交易所股票上市规则》、《公司章程》的相关规定，本次对外投资不构成关联交易，也不构成《上市公司重大资产重组管理办法》规定的重大资产重组。,杭州赛石园林集团有限公司,郑丽莉,浙江融合环境科技有限公司
1204795350,哈药集团股份有限公司关于中信资本股权投资（天津）股份有限公司要约收购事宜进展情况的公告。哈药集团股份有限公司（以下简称“哈药股份”或“本公司”）于2018年4月25日收到《中信资本股权投资（天津）股份有限公司关于要约收购哈药集团股份有限公司股份事宜的进展情况说明》，现将该说明原文披露如下：“2017年12月25日，哈尔滨市人民政府国有资产监督管理委员会（以下简称“哈尔滨市国资委”）、CITICCapitalIcelandInvestmentLimited（以下简称“中信冰岛”）、WPIcelandInvestmentLimited（以下简称“华平冰岛”）、哈尔滨国企重组管理顾问有限公司和哈药集团有限公司（以下简称“哈药集团”）与黑龙江中信资本医药产业股权投资合伙企业（有限合伙）（以下简称“中信资本医药”或“黑龙江中信”）签署《关于哈药集团有限公司之增资协议》。根据上述协议约定，中信资本医药对哈药集团实施增资并认购哈药集团新增注册资本15亿元。本次增资完成后，中信资本控股有限公司（以下简称“中信资本控股”）旗下三家企业合计持有哈药集团60.86%的股权，哈尔滨市国资委持有哈药集团的股权下,黑龙江中信资本医药产业股权投资合伙企业,哈药集团有限公司,哈药集团有限公司
1204797391,哈药集团人民同泰医药股份有限公司关于中信资本股权投资（天津）股份有限公司要约收购事宜进展情况的公告。哈药集团人民同泰医药股份有限公司（以下简称“人民同泰”或“本公司”）于2018年4月25日收到《中信资本股权投资（天津）股份有限公司关于要约收购哈药集团人民同泰医药股份有限公司股份事宜的进展情况的说明》，现将该说明原文披露如下：“2017年12月25日，哈尔滨市人民政府国有资产监督管理委员会（以下简称“哈尔滨市国资委”）、CITICCapitalIcelandInvestmentLimited（以下简称“中信冰岛”）、WPIcelandInvestmentLimited（以下简称“华平冰岛”）、哈尔滨国企重组管理顾问有限公司和哈药集团有限公司（以下简称“哈药集团”）与黑龙江中信资本医药产业股权投资合伙企业（有限合伙）（以下简称“中信资本医药”或“黑龙江中信”）签署《关于哈药集团有限公司之增资协议》。根据上述协议约定，中信资本医药对哈药集团实施增资并认购哈药集团新增注册资本15亿元。本次增资完成后，中信资本控股有限公司（以下简称“中信资本控股”）旗下三家企业合计持有哈药集团60.86%的股,黑龙江中信资本医药产业股权投资合伙企业,哈药集团有限公司,哈药集团有限公司
